jsmith@acme.com,other 
bjones@contoso.com,microsoft 
john_doe@hotmail.com,microsoft
jane.doe@outlook.com,microsoft
jack12@yahoo.com,yahoo 
jill99@gmail.com,gmail
jmaster@fabrikam.com,other
annie81@live.com,microsoft
clark44@protonmail.com,other   
parker35@fastmail.com,other     
hpotter@hogwarts.edu,other       
rweasley@ministryofmagic.gov,other 
the.ceo@bigcompany.com,msft_365      
hr@contoso.co.uk,google_workspace
amanda@smallbusinessco.ca,other    
mjohnson@enterprise.org,msft_365
djones@blueco.com ,google_workspace 
cparker@greenit.eu,other 
fbloggs@orange.in,yahoo  
jdoe@outlook.fr,microsoft 
asmith@fastmail.co.uk,other  
carl99@protonmail.ch,other
john21@gmail.ca,gmail
lknight@live.com.au,microsoft 
anna2000@hotmail.de,microsoft        
pjones@rocketmail.com,yahoo
william.gates@bigcompany.de,msft_365   
amy.wilson@smallco.co.jp,google_workspace 
john.appleseed@live.fr,microsoft   
doe123@fastmail.eu,other    
jackie@protonmail.co.uk,other     
john_smith@outlook.ca,microsoft
jczar@rocketmail.com,yahoo     
anna_jones@bigbiz.de,msft_365
jvoldemort@durmstrang.edu,other  
rblack@grimmauldplace.co.uk,other  
jtest@contoso.eu,microsoft
amy_taylor@fastmall.in,other
johnny10@protonmail.au,other
