warmup97@gmail.com,gmail
joaquin@outlook.com,microsoft
celia@hotmail.com,microsoft
david@yahoo.com,yahoo
tom@aol.fr,aol
jane@gmail.com,gmail
john@hotmail.com,microsoft
lucy@yahoo.com,yahoo
peter@yahoo.com,yahoo
emily@gmail.com,gmail
james@hotmail.co.uk,microsoft
sophia@hotmail.fr,microsoft
alex@yahoo.fr,yahoo
mia@yahoo.de,yahoo
daniel@gmail.com,gmail
olivia@outlook.co.uk,microsoft
adam@hotmail.de,microsoft
hannah@yahoo.co.uk,yahoo
sam@yahoo.fr,yahoo
samantha@aol.com,yahoo
joshua@hotmail.fr,microsoft
sara@yahoo.de,yahoo
matthew@aol.co.uk,yahoo
lauren@yahoo.fr,yahoo
ryan@aol.de,yahoo
